ai_task,base_model,hardware,cloud_region,dataset_size,epochs,carbon_footprint,training_time,performance_score,failure_risk
Computer Vision,ViT-Base,NVIDIA V100,ap-southeast-1,3006,32,150,65,95,Low
Speech Recognition,ResNet-50,NVIDIA RTX 4090,us-west-2,604,15,32.8,24.6,82.9,Medium
Computer Vision,ResNet-50,NVIDIA RTX 4090,ap-southeast-1,412,6,6,3,84.4,Medium
Speech Recognition,ResNet-101,CPU,eu-west-3,1661,33,150,65,71.8,High
Computer Vision,BERT-base,NVIDIA RTX 4090,eu-west-1,138,25,27.6,3,95.4,Low
Recommendation,BERT-base,NVIDIA A100,eu-west-3,1824,11,150,52.2,79.7,Medium
Speech Recognition,ViT-Base,NVIDIA A100,eu-west-3,2559,34,150,65,96,Low
NLP,ResNet-101,CPU,eu-west-1,1513,27,62.5,65,68,High
NLP,ResNet-50,CPU,us-west-2,530,23,7.6,61.5,79.6,High
NLP,GPT-3.5,CPU,us-east-1,1879,4,5,26.4,80,High
Computer Vision,ResNet-50,NVIDIA V100,eu-west-3,1707,7,53.1,8.7,83,Medium
Recommendation,ResNet-101,CPU,eu-west-1,967,9,9,43.3,67.8,High
NLP,ResNet-101,NVIDIA V100,us-west-2,2779,17,150,65,83.7,Medium
Recommendation,BERT-base,NVIDIA V100,us-east-1,150,27,32.9,9.3,91.4,Low
NLP,ViT-Base,NVIDIA V100,us-west-2,2779,21,150,34.7,93.4,Low
Speech Recognition,BERT-base,NVIDIA A100,us-west-2,128,35,26.1,7,87.5,Low
Speech Recognition,BERT-base,NVIDIA A100,us-east-1,742,11,92.3,16.2,83.5,Medium
Recommendation,GPT-3.5,NVIDIA RTX 4090,eu-west-1,1386,4,47.7,4.9,88.4,Low
Recommendation,ResNet-101,NVIDIA V100,us-east-1,629,9,37.1,12.3,87.2,Low
NLP,GPT-3.5,NVIDIA RTX 4090,us-west-2,271,33,36.3,11.8,93.5,Low
Speech Recognition,ViT-Base,CPU,ap-southeast-1,1763,6,27,62.7,65,High
Computer Vision,ViT-Base,TPU v4,eu-west-1,301,35,35.5,21.6,90.5,Low
Computer Vision,BERT-large,NVIDIA V100,us-east-1,633,29,74.6,36.3,85.9,Low
Speech Recognition,ViT-Base,CPU,us-east-1,2672,32,52.6,65,78.3,High
Computer Vision,ResNet-50,NVIDIA A100,ap-southeast-1,2938,3,36.5,22.8,93.2,Low
NLP,ViT-Base,CPU,us-west-2,2201,32,140.4,65,75.7,High
Computer Vision,BERT-base,NVIDIA RTX 4090,ap-southeast-1,327,7,16.6,3.6,88.8,Low
Recommendation,GPT-3.5,NVIDIA A100,ap-southeast-1,1931,3,88.7,6.4,80.2,Medium
Computer Vision,BERT-base,CPU,eu-west-3,405,21,17.6,31.3,69,High
NLP,GPT-3.5,TPU v4,us-east-1,1171,5,54.4,8.6,94.4,Low
Computer Vision,ResNet-101,NVIDIA RTX 4090,us-east-1,939,15,37.4,45.4,92.4,Low
Recommendation,BERT-base,NVIDIA A100,eu-west-1,2999,21,138.1,65,89.8,Low
NLP,BERT-base,NVIDIA RTX 4090,us-east-1,1033,13,98.7,11.7,93.9,Low
Computer Vision,ResNet-101,CPU,ap-southeast-1,2049,21,58.5,65,70.5,High
NLP,ResNet-101,NVIDIA RTX 4090,ap-southeast-1,2917,9,143,47.6,87.2,Low
Computer Vision,GPT-3.5,NVIDIA A100,us-east-1,2564,25,150,65,86,Low
NLP,BERT-large,NVIDIA V100,us-east-1,1778,27,150,65,82.3,Medium
Speech Recognition,BERT-large,TPU v4,us-east-1,1779,23,150,61.5,95.9,Low
NLP,ResNet-101,NVIDIA RTX 4090,ap-southeast-1,1043,17,140.3,55.7,89.8,Low
Speech Recognition,ResNet-50,NVIDIA RTX 4090,ap-southeast-1,2458,33,150,65,80.2,Medium
Speech Recognition,GPT-3.5,TPU v4,eu-west-1,2521,13,150,48.5,96.3,Low
Recommendation,ResNet-101,NVIDIA A100,us-west-2,409,11,50.7,5.6,83.2,Medium
Speech Recognition,GPT-3.5,NVIDIA RTX 4090,eu-west-1,636,27,149.2,28.4,85.7,Low
Speech Recognition,ViT-Base,NVIDIA V100,us-west-2,688,16,76,14.9,83,Medium
NLP,ResNet-101,NVIDIA A100,eu-west-1,2314,34,150,65,93.8,Low
Computer Vision,ViT-Base,NVIDIA A100,us-west-2,2487,10,101.8,36.1,88.4,Low
Recommendation,BERT-large,NVIDIA V100,us-west-2,158,4,5,3,89.2,Low
Speech Recognition,BERT-base,NVIDIA RTX 4090,us-east-1,2820,6,149.7,11.7,85.5,Low
Speech Recognition,ViT-Base,NVIDIA RTX 4090,eu-west-3,1208,24,150,65,87.5,Low
Computer Vision,ResNet-101,TPU v4,eu-west-1,3150,17,150,65,94.9,Low
Computer Vision,BERT-base,NVIDIA V100,eu-west-3,2972,13,150,48.4,82.6,Medium
NLP,ViT-Base,CPU,us-west-2,2073,17,75.5,65,74,High
NLP,BERT-base,CPU,ap-southeast-1,2511,22,36.5,65,79.8,High
Recommendation,ResNet-50,CPU,us-west-2,626,33,36.9,65,77.2,High
NLP,GPT-3.5,NVIDIA RTX 4090,us-east-1,440,31,150,43.2,87.8,Low
Speech Recognition,ViT-Base,NVIDIA A100,eu-west-3,504,34,80.4,39.6,94.5,Low
Recommendation,BERT-large,TPU v4,us-east-1,691,14,52.8,12.8,86.8,Low
Speech Recognition,BERT-base,CPU,us-east-1,2894,12,73.4,65,68.7,High
Speech Recognition,ResNet-101,CPU,us-east-1,633,27,46.5,56.8,69.9,High
Speech Recognition,ResNet-101,TPU v4,us-west-2,2243,19,150,65,91.5,Low
NLP,BERT-large,NVIDIA RTX 4090,eu-west-1,385,33,54.8,21.8,92.3,Low
Computer Vision,BERT-base,NVIDIA A100,us-west-2,1094,9,33.8,10.9,91.7,Low
NLP,ViT-Base,NVIDIA A100,eu-west-1,266,14,19.6,8.4,94.1,Low
Recommendation,BERT-large,NVIDIA V100,ap-southeast-1,926,10,54.5,10.4,84.9,Medium
NLP,ResNet-101,NVIDIA V100,ap-southeast-1,245,13,33.6,9.1,92.1,Low
NLP,ResNet-101,TPU v4,eu-west-3,1830,22,150,28.2,96.3,Low
Computer Vision,GPT-3.5,NVIDIA RTX 4090,eu-west-3,2194,14,150,31.3,92.6,Low
Computer Vision,BERT-base,NVIDIA A100,eu-west-1,598,23,121.3,23.2,85.9,Low
Recommendation,GPT-3.5,NVIDIA RTX 4090,eu-west-3,2773,12,150,31.7,80.5,Medium
NLP,BERT-base,CPU,ap-southeast-1,2234,29,126.5,65,75.8,High
Recommendation,BERT-large,TPU v4,us-west-2,1628,8,117.6,6.9,86.2,Low
Speech Recognition,GPT-3.5,NVIDIA RTX 4090,us-east-1,354,34,32.4,24.6,89.2,Low
Speech Recognition,BERT-base,NVIDIA V100,eu-west-1,997,17,72.8,21.8,78.7,Medium
Computer Vision,ResNet-101,CPU,eu-west-1,2418,11,16.7,65,74.5,High
Computer Vision,BERT-large,CPU,us-west-2,1770,4,19.1,20.6,68.2,High
Recommendation,ViT-Base,NVIDIA RTX 4090,ap-southeast-1,2518,3,51.1,17.3,79.8,Medium
Computer Vision,BERT-large,NVIDIA V100,us-west-2,2154,5,59.1,33.5,88.8,Low
Computer Vision,BERT-large,TPU v4,eu-west-1,560,24,129.4,30.9,86.9,Low
Recommendation,BERT-large,NVIDIA V100,us-east-1,2869,4,86.7,11.7,90.7,Low
Computer Vision,ResNet-50,TPU v4,eu-west-1,913,27,150,40.3,88.5,Low
Computer Vision,BERT-large,NVIDIA V100,us-east-1,1879,13,115,65,88.2,Low
Recommendation,BERT-base,NVIDIA V100,us-east-1,2556,25,124.6,65,90.6,Low
Computer Vision,ViT-Base,TPU v4,us-east-1,744,10,39.5,14.8,92.6,Low
Recommendation,GPT-3.5,CPU,us-west-2,537,19,15.1,65,76.4,High
Recommendation,ResNet-101,CPU,ap-southeast-1,1342,29,58.3,65,71.9,High
Computer Vision,GPT-3.5,NVIDIA A100,eu-west-3,480,32,150,8.6,91.7,Low
NLP,GPT-3.5,NVIDIA V100,eu-west-3,1919,35,150,65,93.2,Low
Computer Vision,BERT-base,TPU v4,us-west-2,2194,6,51.4,8.4,90.7,Low
Recommendation,ResNet-50,NVIDIA V100,us-west-2,1057,3,29.8,8.6,80.8,Medium
Computer Vision,BERT-large,NVIDIA RTX 4090,eu-west-1,392,23,34.9,15.3,85.5,Low
Speech Recognition,BERT-base,NVIDIA A100,eu-west-1,513,7,27.6,5,95.2,Low
NLP,ViT-Base,NVIDIA V100,ap-southeast-1,1288,18,150,61.3,90.6,Low
NLP,BERT-base,NVIDIA RTX 4090,eu-west-1,1321,30,150,43.5,94,Low
NLP,ViT-Base,NVIDIA A100,us-west-2,2710,10,150,40.7,97,Low
Recommendation,ResNet-101,CPU,us-east-1,2155,23,29.4,65,68,High
Recommendation,ResNet-50,TPU v4,ap-southeast-1,925,14,150,29.8,91,Low
Speech Recognition,ResNet-50,CPU,ap-southeast-1,1283,22,76.3,65,71.7,High
Computer Vision,ResNet-50,TPU v4,us-west-2,2944,12,150,44.7,97,Low
NLP,ResNet-101,NVIDIA RTX 4090,eu-west-3,1007,21,54.3,22.6,88.9,Low
Recommendation,ViT-Base,CPU,eu-west-1,807,23,20.6,65,73.5,High
Recommendation,ViT-Base,TPU v4,eu-west-3,1257,34,150,65,88.2,Low
Recommendation,ViT-Base,NVIDIA RTX 4090,us-east-1,2803,23,150,65,86.7,Low
Computer Vision,GPT-3.5,NVIDIA A100,ap-southeast-1,266,32,100,10.9,91.4,Low
NLP,GPT-3.5,NVIDIA V100,eu-west-1,1863,21,105.1,65,89.7,Low
Speech Recognition,ViT-Base,TPU v4,eu-west-1,2504,26,150,65,93.9,Low
Speech Recognition,ViT-Base,TPU v4,ap-southeast-1,930,15,150,27.6,85.8,Low
Speech Recognition,BERT-base,TPU v4,us-west-2,1671,33,150,65,97,Low
Speech Recognition,ViT-Base,NVIDIA RTX 4090,ap-southeast-1,1670,17,150,34.3,86.9,Low
Recommendation,ViT-Base,CPU,eu-west-3,2122,34,150,65,73,High
NLP,BERT-large,TPU v4,eu-west-1,184,24,23.6,3.6,89.6,Low
Recommendation,ViT-Base,CPU,eu-west-1,2454,9,19.1,65,74.9,High
Recommendation,BERT-large,CPU,us-east-1,877,17,24.2,65,69.4,High
Speech Recognition,ResNet-50,NVIDIA A100,us-east-1,2959,22,150,65,92.6,Low
Computer Vision,BERT-base,NVIDIA V100,ap-southeast-1,1243,14,150,42.7,85.9,Low
Speech Recognition,BERT-base,NVIDIA V100,eu-west-3,2444,35,150,65,85.3,Low
Speech Recognition,BERT-base,TPU v4,us-east-1,1825,28,150,59.4,95.2,Low
Speech Recognition,BERT-large,CPU,ap-southeast-1,436,7,5,12.7,72.6,High
Speech Recognition,ResNet-101,CPU,eu-west-3,1049,18,15.3,44.2,73.3,High
Recommendation,ResNet-50,TPU v4,eu-west-1,2410,5,118.6,14.8,87.9,Low
Recommendation,BERT-large,TPU v4,us-west-2,2003,33,150,65,89.6,Low
Speech Recognition,ViT-Base,NVIDIA A100,us-east-1,1397,29,150,65,91.4,Low
Recommendation,GPT-3.5,NVIDIA V100,us-west-2,1299,27,150,65,87.9,Low
Speech Recognition,BERT-base,NVIDIA RTX 4090,eu-west-3,1152,9,56.7,7.7,92.3,Low
Recommendation,GPT-3.5,NVIDIA RTX 4090,ap-southeast-1,608,13,48.7,5.7,80.3,Medium
NLP,BERT-large,CPU,ap-southeast-1,2375,26,62.2,65,70.1,High
Speech Recognition,ResNet-101,CPU,eu-west-3,1795,8,21.6,65,77.6,High
Speech Recognition,BERT-base,NVIDIA A100,ap-southeast-1,639,13,55.3,13.1,85.7,Low
Computer Vision,GPT-3.5,TPU v4,us-west-2,594,19,42.2,20.3,88.4,Low
Speech Recognition,ViT-Base,CPU,us-east-1,1086,26,64,65,68.5,High
NLP,BERT-base,CPU,us-east-1,135,4,5,3,70.6,High
Computer Vision,ResNet-50,CPU,us-west-2,1483,28,61.3,65,71.6,High
Speech Recognition,ResNet-101,TPU v4,us-west-2,1457,7,66.4,11.8,88.3,Low
Recommendation,ResNet-101,NVIDIA RTX 4090,eu-west-3,373,9,35.4,8.2,81.7,Medium
NLP,ResNet-50,NVIDIA V100,eu-west-1,1912,9,147.9,31.4,86.5,Low
Speech Recognition,GPT-3.5,NVIDIA RTX 4090,ap-southeast-1,2512,24,150,65,91.3,Low
NLP,BERT-base,NVIDIA A100,ap-southeast-1,550,10,42,8.2,87.5,Low
Computer Vision,BERT-large,TPU v4,us-west-2,1441,27,150,65,91.3,Low
Recommendation,ViT-Base,NVIDIA RTX 4090,eu-west-3,1962,25,150,55.1,81.7,Medium
Recommendation,BERT-large,NVIDIA RTX 4090,us-east-1,1862,3,40.8,18.8,84.8,Medium
Speech Recognition,ResNet-50,CPU,eu-west-3,2859,13,42.6,65,68.4,High
Computer Vision,BERT-large,TPU v4,eu-west-3,1623,4,84.1,10.6,88.4,Low
Speech Recognition,ResNet-101,NVIDIA A100,ap-southeast-1,2392,30,150,65,92.2,Low
NLP,ResNet-101,NVIDIA A100,eu-west-1,1847,33,150,65,97,Low
Speech Recognition,ResNet-50,NVIDIA A100,us-west-2,650,4,30.3,3,87.8,Low
Computer Vision,ResNet-101,NVIDIA A100,ap-southeast-1,481,7,14.1,10.4,90.9,Low
Speech Recognition,ResNet-50,NVIDIA V100,eu-west-3,1002,22,107.1,33.9,87.6,Low
Speech Recognition,BERT-large,NVIDIA RTX 4090,eu-west-3,640,30,150,48.2,86.5,Low
Computer Vision,ResNet-101,NVIDIA RTX 4090,us-west-2,2133,23,150,65,84.6,Medium
Speech Recognition,ResNet-101,NVIDIA RTX 4090,eu-west-3,186,16,28.1,3,83.1,Medium
NLP,ResNet-50,CPU,ap-southeast-1,1394,19,19.5,65,69.4,High
Speech Recognition,ResNet-50,NVIDIA V100,us-east-1,1751,35,150,65,78.3,Medium
Recommendation,ViT-Base,NVIDIA A100,eu-west-3,1293,15,71.8,32.3,87.5,Low
Computer Vision,BERT-large,NVIDIA RTX 4090,ap-southeast-1,318,7,13.5,4.6,86.4,Low
Computer Vision,BERT-large,CPU,ap-southeast-1,1615,33,96.6,65,76.2,High
Computer Vision,BERT-base,NVIDIA V100,us-east-1,2517,16,150,36.4,95.1,Low
NLP,ResNet-101,NVIDIA RTX 4090,eu-west-3,2365,17,150,65,89,Low
Computer Vision,ResNet-50,NVIDIA V100,us-east-1,272,27,29.8,4.4,85.9,Low
NLP,GPT-3.5,NVIDIA RTX 4090,eu-west-1,1026,6,64.2,13.5,89.7,Low
Recommendation,ViT-Base,CPU,eu-west-3,2113,35,146.5,65,74.5,High
Computer Vision,BERT-base,TPU v4,eu-west-3,627,33,150,22.6,96.2,Low
NLP,GPT-3.5,NVIDIA V100,ap-southeast-1,1433,17,150,65,83.4,Medium
Speech Recognition,ViT-Base,CPU,eu-west-1,2247,6,29.5,44.6,65,High
Computer Vision,ViT-Base,CPU,us-west-2,3357,35,150,65,70,High
Speech Recognition,ViT-Base,NVIDIA V100,us-east-1,1814,14,150,65,89.6,Low
Speech Recognition,BERT-large,NVIDIA RTX 4090,ap-southeast-1,1239,33,150,65,89.9,Low
Recommendation,ResNet-101,NVIDIA V100,us-east-1,825,23,100.6,43.8,80.2,Medium
Speech Recognition,ResNet-101,TPU v4,eu-west-1,1301,5,45.5,4.2,93.6,Low
NLP,ViT-Base,NVIDIA A100,ap-southeast-1,2366,7,70.7,7.6,96.3,Low
Recommendation,BERT-base,NVIDIA V100,us-east-1,1588,27,150,65,84,Medium
NLP,BERT-large,NVIDIA V100,ap-southeast-1,310,8,25.2,8.1,88.8,Low
Speech Recognition,GPT-3.5,CPU,us-east-1,2668,5,33,65,73.6,High
NLP,GPT-3.5,TPU v4,eu-west-3,2338,35,150,65,96.5,Low
Recommendation,ResNet-101,NVIDIA A100,us-east-1,793,12,47.9,18,90.2,Low
Recommendation,BERT-base,NVIDIA V100,us-east-1,1155,7,11.9,22.9,76.4,Medium
Computer Vision,BERT-large,CPU,us-west-2,1624,21,79.7,65,68.3,High
NLP,ResNet-50,TPU v4,eu-west-3,1336,26,150,63.7,95.8,Low
Computer Vision,GPT-3.5,CPU,us-west-2,754,31,47.3,65,78.5,High
Recommendation,ViT-Base,CPU,ap-southeast-1,718,28,35.1,65,73.2,High
Speech Recognition,ResNet-50,CPU,eu-west-3,365,22,11.4,45.2,67.5,High
NLP,BERT-base,NVIDIA A100,eu-west-1,458,28,86.3,6.3,91.7,Low
Computer Vision,ResNet-50,NVIDIA A100,eu-west-3,2570,29,150,65,89.6,Low
Recommendation,ViT-Base,NVIDIA V100,us-west-2,1819,11,148.9,29.1,81,Medium
NLP,ResNet-101,NVIDIA V100,us-west-2,711,21,41,41.9,84,Medium
Computer Vision,ViT-Base,NVIDIA A100,eu-west-3,148,8,5,3,87.5,Low
Speech Recognition,GPT-3.5,NVIDIA A100,ap-southeast-1,595,15,109.5,5.6,87.8,Low
NLP,ViT-Base,TPU v4,eu-west-1,661,16,113.4,18.4,87.5,Low
Recommendation,BERT-base,TPU v4,ap-southeast-1,966,27,150,40.4,91.8,Low
NLP,ResNet-50,NVIDIA V100,eu-west-3,1134,12,96.5,42.7,82.2,Medium
NLP,ResNet-101,NVIDIA V100,eu-west-3,1214,8,20.9,15.8,79.9,Medium
Recommendation,GPT-3.5,TPU v4,us-east-1,1567,32,150,65,83.1,Medium
Speech Recognition,GPT-3.5,NVIDIA RTX 4090,ap-southeast-1,895,4,10.6,6.8,93.1,Low
Recommendation,BERT-base,NVIDIA A100,ap-southeast-1,1914,18,150,40.4,80.7,Medium
NLP,ViT-Base,NVIDIA A100,us-east-1,2227,15,120.9,65,96.2,Low
Recommendation,GPT-3.5,TPU v4,eu-west-1,670,28,91.3,13.1,89.9,Low
Recommendation,BERT-large,NVIDIA A100,us-east-1,2861,27,150,65,85.5,Low
Recommendation,BERT-base,NVIDIA V100,us-west-2,495,16,24.9,15.5,78.4,Medium
Speech Recognition,BERT-large,NVIDIA RTX 4090,eu-west-1,2736,4,71.4,34.4,80.7,Medium
Recommendation,GPT-3.5,TPU v4,us-west-2,1068,14,150,8.2,85.8,Low
Speech Recognition,BERT-large,NVIDIA RTX 4090,us-east-1,2857,3,72.6,26.9,85.6,Low
Speech Recognition,ViT-Base,NVIDIA A100,ap-southeast-1,125,12,22.1,3,96.2,Low
Computer Vision,ResNet-50,NVIDIA RTX 4090,us-west-2,2028,14,110.2,16.6,80.4,Medium
Speech Recognition,BERT-base,NVIDIA RTX 4090,us-west-2,1937,10,55,26.1,92.9,Low
Computer Vision,ResNet-101,NVIDIA V100,us-east-1,1826,8,46.6,33.5,92.4,Low
Computer Vision,GPT-3.5,NVIDIA RTX 4090,eu-west-1,2644,18,150,65,83.3,Medium
NLP,GPT-3.5,TPU v4,eu-west-3,389,21,105.4,11.2,97,Low
Speech Recognition,BERT-base,TPU v4,us-east-1,656,30,71.9,13.6,93.5,Low
Recommendation,BERT-base,TPU v4,us-west-2,1288,17,150,44.2,88.3,Low
Recommendation,BERT-large,TPU v4,eu-west-1,961,20,91.9,13,93.3,Low
Speech Recognition,GPT-3.5,NVIDIA A100,ap-southeast-1,1397,21,150,20.7,90.1,Low
Speech Recognition,BERT-base,NVIDIA V100,us-west-2,1476,6,36.8,9.7,86.7,Low
Recommendation,ResNet-101,NVIDIA A100,eu-west-1,2092,7,101.1,26.4,84.4,Medium
Recommendation,ResNet-50,NVIDIA RTX 4090,ap-southeast-1,1105,14,121.3,17.2,89.3,Low
Speech Recognition,ResNet-101,NVIDIA V100,ap-southeast-1,2855,34,150,65,89.7,Low
Computer Vision,GPT-3.5,CPU,ap-southeast-1,2428,12,73.6,65,68.7,High
NLP,BERT-base,CPU,ap-southeast-1,882,34,75.1,65,70.8,High
NLP,BERT-base,NVIDIA V100,eu-west-1,640,27,72.5,31.1,82.8,Medium
Computer Vision,BERT-large,CPU,eu-west-3,1777,21,82.4,65,66.6,High
NLP,GPT-3.5,NVIDIA RTX 4090,eu-west-1,2729,24,150,65,88,Low
Speech Recognition,GPT-3.5,NVIDIA V100,eu-west-1,2267,13,57.1,42.3,92.8,Low
Speech Recognition,BERT-base,CPU,ap-southeast-1,1592,4,6.4,29.9,73.5,High
Computer Vision,ViT-Base,TPU v4,us-east-1,3176,11,150,54.5,93.1,Low
Recommendation,ViT-Base,NVIDIA A100,ap-southeast-1,1561,4,35.9,15.4,85.7,Low
Computer Vision,GPT-3.5,TPU v4,ap-southeast-1,1608,19,150,60.2,94.7,Low
Recommendation,ResNet-101,NVIDIA A100,us-east-1,1555,17,150,33.6,83.7,Medium
Recommendation,GPT-3.5,NVIDIA A100,us-east-1,836,25,150,30.2,90.3,Low
Computer Vision,BERT-base,NVIDIA RTX 4090,ap-southeast-1,2872,34,150,65,83.2,Medium
Speech Recognition,GPT-3.5,CPU,us-west-2,316,8,5,6.9,66,High
Speech Recognition,GPT-3.5,CPU,ap-southeast-1,1118,12,17.6,64.7,74.3,High
Speech Recognition,ResNet-101,NVIDIA A100,eu-west-1,643,5,33.8,4.7,88.6,Low
Speech Recognition,BERT-large,CPU,eu-west-1,2480,33,121.7,65,72.5,High
Speech Recognition,GPT-3.5,TPU v4,us-west-2,1725,8,121.7,20.9,88.8,Low
Recommendation,ResNet-101,NVIDIA A100,us-west-2,998,4,28.5,7.1,94.6,Low
Computer Vision,ResNet-101,TPU v4,ap-southeast-1,1994,11,84.2,49.3,92.5,Low
NLP,ResNet-101,NVIDIA RTX 4090,eu-west-1,2098,31,150,60,83.3,Medium
Recommendation,ResNet-101,NVIDIA RTX 4090,us-west-2,2688,9,86.2,47,84.3,Medium
Recommendation,ResNet-101,NVIDIA A100,us-east-1,835,9,77.9,4.9,87.6,Low
NLP,ResNet-50,NVIDIA V100,ap-southeast-1,1490,32,150,65,86.6,Low
Recommendation,BERT-base,TPU v4,eu-west-3,576,20,86.7,24.6,97,Low
Speech Recognition,BERT-large,NVIDIA V100,us-east-1,1164,27,135.2,65,84.3,Medium
NLP,ViT-Base,NVIDIA V100,eu-west-1,1297,32,150,65,88.5,Low
Computer Vision,ResNet-50,NVIDIA A100,us-east-1,1848,25,150,65,89.2,Low
Recommendation,GPT-3.5,CPU,us-east-1,947,10,18.1,46.1,65,High
Recommendation,GPT-3.5,CPU,us-west-2,1945,33,68.2,65,74.4,High
Speech Recognition,BERT-base,NVIDIA RTX 4090,us-west-2,1516,19,150,25.1,94,Low
Computer Vision,ViT-Base,NVIDIA V100,eu-west-3,1006,13,99.8,18.4,86.4,Low
NLP,ViT-Base,CPU,eu-west-3,1008,26,13.8,65,67,High
NLP,BERT-large,CPU,us-east-1,722,32,54.4,65,76.6,High
Recommendation,ViT-Base,TPU v4,us-east-1,1756,34,150,33,94.2,Low
NLP,BERT-large,NVIDIA RTX 4090,us-east-1,2897,16,150,55.2,86,Low
Speech Recognition,ResNet-50,NVIDIA V100,eu-west-1,1259,26,150,65,94.5,Low
Speech Recognition,ResNet-50,NVIDIA RTX 4090,us-west-2,693,14,82.3,12.3,83.5,Medium
Computer Vision,BERT-large,NVIDIA V100,eu-west-1,303,11,11.4,4.6,84.8,Medium
Computer Vision,ResNet-50,TPU v4,eu-west-1,2098,28,150,46.8,97,Low
Speech Recognition,BERT-large,NVIDIA A100,us-east-1,585,7,18.3,9,89.4,Low
Speech Recognition,ResNet-50,TPU v4,us-west-2,325,12,37.2,3.4,88.8,Low
Computer Vision,GPT-3.5,NVIDIA A100,eu-west-1,3037,19,150,32.3,86.2,Low
Computer Vision,BERT-large,TPU v4,eu-west-3,774,13,112.9,5.2,89.8,Low
Speech Recognition,ViT-Base,NVIDIA A100,us-east-1,2748,12,150,45,89.5,Low
Computer Vision,BERT-base,NVIDIA RTX 4090,us-west-2,2217,9,137.2,32.5,86.8,Low
Computer Vision,ResNet-50,TPU v4,eu-west-1,1615,19,150,24.1,94.6,Low
Speech Recognition,ResNet-101,CPU,us-west-2,492,25,25.2,65,78.6,High
Computer Vision,ResNet-50,NVIDIA A100,us-west-2,3139,24,150,65,94.6,Low
NLP,GPT-3.5,NVIDIA RTX 4090,us-west-2,1237,14,100.3,14.7,90.3,Low
Computer Vision,GPT-3.5,NVIDIA RTX 4090,ap-southeast-1,2088,29,150,65,89,Low
Recommendation,ResNet-101,CPU,us-east-1,266,34,9.8,24.6,67.6,High
NLP,ResNet-50,NVIDIA A100,eu-west-3,2013,26,150,65,88.2,Low
Computer Vision,BERT-large,TPU v4,us-west-2,3229,18,150,65,87.6,Low
NLP,ResNet-50,CPU,us-west-2,1453,3,5,19.9,71.2,High
Recommendation,ViT-Base,TPU v4,us-east-1,1814,23,150,54.5,87.1,Low
Speech Recognition,GPT-3.5,TPU v4,eu-west-3,1443,18,150,14.3,94,Low
NLP,ResNet-101,TPU v4,eu-west-1,2027,22,150,40.2,87.9,Low
Computer Vision,GPT-3.5,TPU v4,eu-west-3,206,15,33.6,6.1,95,Low
Computer Vision,ResNet-50,NVIDIA A100,us-east-1,2336,16,109.2,65,94.8,Low
Computer Vision,ResNet-50,CPU,eu-west-3,2491,29,83,65,66.4,High
Computer Vision,ViT-Base,NVIDIA RTX 4090,ap-southeast-1,3340,28,150,65,92,Low
Recommendation,BERT-large,CPU,ap-southeast-1,2946,8,16.1,65,65.1,High
NLP,ViT-Base,NVIDIA A100,eu-west-1,146,19,7.7,4,90,Low
Recommendation,BERT-large,NVIDIA RTX 4090,us-west-2,566,18,29.7,8.7,87.3,Low
Speech Recognition,BERT-large,NVIDIA A100,eu-west-1,1286,31,150,62.3,95.7,Low
Speech Recognition,BERT-large,NVIDIA A100,us-east-1,215,27,55,8.1,86.5,Low
NLP,ViT-Base,NVIDIA RTX 4090,us-west-2,1995,28,150,65,89.2,Low
Recommendation,BERT-large,NVIDIA V100,ap-southeast-1,2927,14,150,29.7,80.3,Medium
NLP,ViT-Base,TPU v4,ap-southeast-1,380,29,56.2,23.6,97,Low
Speech Recognition,BERT-large,CPU,ap-southeast-1,1349,29,96.6,65,74,High
Computer Vision,BERT-large,NVIDIA A100,us-east-1,489,21,71,6.1,92.1,Low
Speech Recognition,ResNet-101,CPU,ap-southeast-1,740,20,42,65,74.3,High
NLP,BERT-large,TPU v4,eu-west-1,1955,33,150,65,96.6,Low
Recommendation,GPT-3.5,NVIDIA A100,ap-southeast-1,2838,22,150,65,80.1,Medium
NLP,BERT-base,NVIDIA A100,eu-west-1,143,17,23.3,3.7,96.4,Low
NLP,BERT-base,TPU v4,us-east-1,467,35,140.8,21.8,97,Low
Recommendation,ViT-Base,NVIDIA RTX 4090,eu-west-1,1942,14,81.1,55.3,89.5,Low
NLP,ResNet-101,NVIDIA V100,us-east-1,627,35,150,21.9,85.1,Low
NLP,GPT-3.5,CPU,eu-west-1,770,31,51.5,65,73,High
Recommendation,BERT-base,NVIDIA A100,us-west-2,2799,25,150,65,90.5,Low
Computer Vision,GPT-3.5,TPU v4,eu-west-3,3433,31,150,54.8,95.2,Low
Computer Vision,ResNet-101,CPU,eu-west-1,2632,34,114.6,65,68.2,High
Computer Vision,BERT-large,CPU,us-east-1,2980,17,108.5,65,76.5,High
Computer Vision,BERT-large,NVIDIA A100,ap-southeast-1,3213,30,150,65,89.8,Low
Speech Recognition,GPT-3.5,TPU v4,eu-west-1,1008,11,83.8,11.6,88.2,Low
Speech Recognition,BERT-base,NVIDIA V100,eu-west-1,470,8,31,11,82.5,Medium
Speech Recognition,ResNet-101,NVIDIA V100,us-east-1,2406,32,150,65,93.5,Low
NLP,BERT-base,TPU v4,us-east-1,1034,26,150,45.6,97,Low
Recommendation,ViT-Base,NVIDIA V100,ap-southeast-1,697,16,39,28.9,85.4,Low
